attendance,day_night,temp,wind_speed,duration,away_errors,away_hits,home_errors,home_hits,total_runs,home_win
41166,0,78,12,2.85,0,5,0,6,9,1
41166,0,90,11,3,0,8,0,9,5,0
41157,0,73,8,2.85,1,5,0,7,4,1
41151,0,76,10,3.1,0,6,1,8,7,1
41148,1,80,5,3.2,0,3,1,6,4,1
41148,1,69,10,3.8,1,16,0,11,17,1
41147,1,88,15,3.317,1,11,0,9,9,1
41139,1,65,9,3.35,0,7,0,10,11,0
41125,1,63,10,3.35,0,13,0,11,14,0
41109,0,52,10,2.733,0,7,1,6,4,0
41102,0,64,6,3.033,1,11,0,6,9,0
41098,1,81,7,3.283,0,7,0,8,8,0
41086,1,68,7,2.933,0,7,0,5,4,0
41068,0,72,3,2.5,0,8,0,10,5,1
41058,1,73,7,3.033,0,9,1,3,9,0
41058,0,73,5,2.75,1,6,0,7,6,1
41053,0,80,7,3.317,0,14,3,10,11,1
41052,1,67,12,3.167,0,10,1,3,8,0
41028,0,60,15,2.867,0,9,0,8,9,0
41024,0,87,11,3.383,0,13,1,14,15,1
41019,0,78,6,3.033,0,10,1,8,10,0
41015,0,84,5,2.833,1,6,0,7,4,1
41012,0,90,5,3.05,0,7,0,7,5,1
41001,1,64,10,2.967,1,13,0,2,9,0
40994,0,62,7,2.817,1,9,2,6,10,0
40987,0,65,5,3.333,1,14,1,7,13,0
40981,1,60,13,2.833,0,12,0,6,9,0
40970,0,63,8,3.067,1,8,0,7,7,0
40956,1,81,12,3.033,0,8,1,8,14,0
40953,1,44,17,2.7,1,3,0,11,10,1
40952,0,75,9,4.3,1,11,0,9,13,1
40951,1,76,10,3.133,0,8,0,14,13,1
40937,0,77,5,2.783,0,7,1,10,5,1
40921,0,59,1,2.6,0,10,0,5,9,0
40899,1,77,4,5.433,0,13,0,16,10,0
40882,0,48,12,3.05,1,7,0,3,8,1
40879,0,96,5,3.317,0,8,0,9,1,0
40879,0,65,12,2.6,1,6,0,8,7,1
40875,1,82,5,3.483,0,17,2,9,17,0
40871,1,87,4,2.733,0,5,1,4,3,0
40859,0,81,3,3.15,0,5,0,8,4,1
40852,1,57,0,2.917,0,9,0,2,3,0
40848,1,76,5,2.983,0,6,2,14,15,1
40823,1,79,8,3.217,1,10,1,11,9,1
40818,1,73,11,2.617,0,3,0,5,3,1
40814,1,45,11,2.917,0,5,0,4,3,0
40805,1,89,8,2.633,0,5,0,9,3,1
40791,1,71,9,2.883,0,5,0,9,5,1
40785,1,67,7,3.317,0,14,1,8,14,0
40755,0,67,11,3.383,0,10,0,6,7,0
40725,0,63,11,3.05,0,6,0,10,9,1
40714,1,62,13,2.917,2,6,0,7,5,1
40713,0,82,5,3.2,1,15,0,5,17,0
40643,0,74,10,3.4,0,12,0,13,10,0
