latitude,temperature,salinity,ph,oxygen,enterococcus,quality
26.058156,28.8,31.2,7.99,6.09,0.99,1
26.082873,28.8,31.2,7.99,6.09,0.99,1
25.721483,28.8,31.2,7.99,6.09,0.99,1
25.832737,28.8,31.2,7.99,6.09,0.99,1
25.922304,28.8,31.2,7.99,6.09,0.99,1
25.972378,28.8,31.2,7.99,6.09,0.99,1
26.013386,28.8,31.2,7.99,6.09,0.99,1
25.814849,28.8,31.2,7.99,6.09,0.99,1
26.025014,28.8,31.2,7.99,6.09,0.99,1
25.930998,28.8,31.2,7.99,6.09,0.99,1
26.001124,28.8,31.2,7.99,6.09,0.99,1
26.0165,28.8,31.2,7.99,6.09,0.99,1
26.022352,28.8,31.2,7.99,6.09,0.99,1
26.058156,28.8,31.2,7.99,6.09,0.99,1
26.082873,28.8,31.2,7.99,6.09,0.99,1
25.721483,28.8,31.2,7.99,6.09,0.99,1
25.832737,28.8,31.2,7.99,6.09,0.99,1
25.922304,28.8,31.2,7.99,6.09,0.99,1
25.972378,28.8,31.2,7.99,6.09,0.99,1
26.013386,30.5,32.4,8.13,5.94,0.99,1
25.814849,30.5,32.4,8.13,5.94,0.99,1
